K,precision,recall,ndcg,novelty,hit_rate,coverage,ild
5,0.0009493845559419332,0.0025951186615203836,0.00180088600434391,8.779182381093383,0.004746922779709665,0.9989082969432315,0.5478952786525799
10,0.0008941877794336812,0.004861142804786896,0.002601176469444445,8.77957047856454,0.008886681017828559,0.9989082969432315,0.5478603680241887
20,0.0009135066512115693,0.009718168418560316,0.00399646356036219,8.776940827424985,0.01788375558867362,0.9989082969432315,0.5475988038619205
