K,precision,recall,ndcg
5,0.021296472831267874,0.06678349044769445,0.048694262256335434
10,0.01697807435653003,0.1048647049422851,0.061943275859663735
20,0.012855100095328885,0.1551617232590967,0.07623806304494661
