K,precision,recall,ndcg,novelty,hit_rate,coverage,ild
5,0.009339294585196226,0.030256358338310085,0.02111509510991292,4.396599642342866,0.04575812772534084,0.007096069868995633,0.4961051565575645
10,0.0071314235248661475,0.04630279753472379,0.02646520081848708,4.572521712393714,0.0692167577413479,0.010917030567685589,0.48262608947433006
20,0.005627311365016283,0.07404527964788916,0.03393589622885353,4.8345424398904004,0.10691615609648397,0.018558951965065504,0.5022183486218675
