K,precision,recall,ndcg,novelty,coverage,ild
5,0.02154882154882155,0.06432930014251517,0.046917309595856875,5.941360581887417,0.21670305676855894,0.49070936833712364
10,0.01880554175636143,0.11048085641882038,0.06295440019609799,6.0696637454871905,0.31768558951965065,0.49263808108101237
20,0.015455097422310536,0.17654224384006742,0.08179557602324088,6.236416094766974,0.49290393013100436,0.4959143248597983
